year,avg_cpi
1995,100.0
1996,99.48897411348862
1997,100.35865739788693
1998,100.4425573971537
1999,97.97108025740688
2000,95.99786825882788
2001,93.43618467407578
2002,92.69897097314951
2003,90.23094190012077
2004,88.33421836640748
2005,88.49995139148439
2006,87.45464893040834
2007,87.07790168190651
2008,87.47694345911923
2009,87.36368241509138
2010,85.66235247844948
2011,87.9903561401103
2012,90.82100346864638
2013,92.79792474508312
2014,94.98962391397247
2015,93.98958193767642
2016,92.68159853000893
2017,92.73090642622424
2018,91.60179467448603
2019,89.73072146489824
2020,80.63850945672907
2021,82.92552305351018
2022,87.82899937075277
2023,90.09991697271734
2024,88.07053199803605
